street,lat,lon
LINCOLN ROAD,1.315445,103.84303603333332
LORONG L TELOK KURAU,1.31199968,103.91202826000001
GEYLANG ROAD,1.3132395899999998,103.88309402999998
PASIR PANJANG ROAD,1.2847470099999998,103.7799002
SEMBAWANG ROAD,1.4572711083333332,103.83478337845281
TAMPINES STREET 86,1.35310855,103.92951903000001
WEST COAST ROAD,1.3129467499999998,103.75542135
PASIR RIS LINK,1.3770221999999999,103.9603946
KAMPONG BAHRU ROAD,1.274884688888889,103.82997975555556
CLEMENCEAU AVENUE NORTH,1.30870952,103.83956939999999
FARRER DRIVE,1.3144995,103.8064933
COVE WAY,1.24115485,103.83841184554697
JALAN BUNGA RAMPAI,1.33879404,103.88357982
LORONG 40 GEYLANG,1.3136274,103.88966796666666
LORONG 1 TOA PAYOH,1.33780513,103.84671593
WEST COAST DRIVE,1.3129660666666667,103.75928796666666
HOLLAND ROAD,1.307938025,103.8110767
HOUGANG STREET 11,1.3519267,103.87976094000001
NEWTON ROAD,1.31594263,103.84120807045706
ALEXANDRA VIEW,1.2907335666666666,103.81751333333334
LAKESIDE DRIVE,1.3427963333333333,103.72102926666666
LORONG M TELOK KURAU,1.3110254000000001,103.91272257499999
WOODSVILLE CLOSE,1.3294241999999998,103.86801748
TRANSIT ROAD,1.4047353500000002,103.81866255
RIDLEY PARK,1.300561766666667,103.81544666666666
CASHEW ROAD,1.3721551428571428,103.76844919999998
BIDADARI PARK DRIVE,1.3373758428571427,103.8720049
DOVER RISE,1.3044337,103.78448611428573
BEACH ROAD,1.2950597499999998,103.85541998333333
DUNEARN ROAD,1.3195718833333332,103.82863835
MIDDLE ROAD,1.29882738,103.85353890000002
DAIRY FARM WALK,1.3670272666666667,103.77387263333333
KIM SENG WALK,1.2944829,103.8308914
SIMS DRIVE,1.3176954,103.87852978000001
AMBER ROAD,1.3006918200000002,103.90018653
STIRLING ROAD,1.29303166,103.80471892
PARBURY AVENUE,1.3172128399999998,103.94320106
MOHAMED SULTAN ROAD,1.2921455444444445,103.84044464444443
PUNGGOL CENTRAL,1.3999540700000002,103.91050334000002
UPPER PAYA LEBAR ROAD,1.34166995,103.88434787000001
BUKIT BATOK STREET 31,1.3587996555555555,103.74971722222223
IRRAWADDY ROAD,1.322715025,103.8445163625
WOODLEIGH CLOSE,1.33604,103.86892720000002
ALEXANDRA ROAD,1.29113196,103.80912828000001
YISHUN CLOSE,1.4344082333333332,103.844742
BARTLEY ROAD,1.34299067,103.87958008999999
SERANGOON AVENUE 3,1.35132021,103.86688269999999
DEPOT ROAD,1.2814616600000002,103.80991199
MARINE VISTA,1.3061162666666666,103.92071283333333
LORONG H TELOK KURAU,1.3157277333333333,103.90828610000001
UPPER SERANGOON ROAD,1.3475127199999999,103.87269228999999
YIO CHU KANG ROAD,1.3778569285714286,103.85124572857141
BENCOOLEN STREET,1.3003976444444445,103.85161297777778
GATEWAY DRIVE,1.3354580714285718,103.74131871428571
PAYA LEBAR ROAD,1.32383326,103.89077224
MARINA BOULEVARD,1.2793939714285714,103.85631205714286
FORT ROAD,1.2994102714285714,103.88533164285715
RICHARDS AVENUE,1.3619534333333334,103.8811622
LORONG 30 GEYLANG,1.312508725,103.886333675
MCCALLUM STREET,1.2791227,103.8483141857143
GUILLEMARD ROAD,1.3114834444444445,103.88523784444445
KEPPEL BAY VIEW,1.26740318,103.81208944
HONG SAN WALK,1.377531525,103.7469714
SIMEI STREET 3,1.34110629,103.95148773000001
EAST COAST ROAD,1.3098532700000003,103.91543019000001
LORONG K TELOK KURAU,1.313168766666667,103.91210043333335
AMBER GARDENS,1.30153065,103.89973400000001
JERVOIS CLOSE,1.2933551,103.8248245
FERNWOOD TERRACE,1.3096936,103.9244777
JURONG WEST STREET 41,1.34799288,103.72384918999998
HOLT ROAD,1.29423025,103.82582435
WEST COAST CRESCENT,1.298404,103.765547575
WEST COAST VALE,1.318451725,103.75279355
TANGLIN ROAD,1.3032294666666666,103.8221963
PECK HAY ROAD,1.3093235666666667,103.83882716666666
FRASER STREET,1.3001409750000001,103.85746085000001
LORONG LIMAU,1.3240267,103.8550318
ARTHUR ROAD,1.3018733200000001,103.88801728000001
NASSIM ROAD,1.3109588,103.82173118571428
COVE DRIVE,1.242169775,103.833981925
DAIRY FARM ROAD,1.36424324,103.77167093999999
TANAH MERAH KECHIL AVENUE,1.3297704285714287,103.94610885714285
MINBU ROAD,1.3242685,103.84920695999999
MOONSTONE LANE,1.3276504375,103.8658826125
PHOENIX ROAD,1.3761052,103.7574971
LOWER DELTA ROAD,1.28221344,103.82436867999999
LORONG KISMIS,1.3374362499999999,103.76829745
DELTA ROAD,1.2916238,103.826093675
BRIGHT HILL DRIVE,1.3582873166666667,103.83283343333333
SCOTTS ROAD,1.3087457400000002,103.83424290999999
LORONG G TELOK KURAU,1.3169456875,103.90919976250001
JURONG EAST STREET 13,1.3371404777777778,103.73672695555555
WOODLEIGH LANE,1.337919066666667,103.86936296666669
LAVENDER STREET,1.3130317699999998,103.86102636999999
LORONG HOW SUN,1.3435726,103.8811879
JALAN KEMAMAN,1.3262763666666668,103.85024316666666
SOPHIA ROAD,1.303730375,103.8470423
PASIR RIS HEIGHTS,1.382099057142857,103.94304051428573
SURREY ROAD,1.3158481333333334,103.8429067
WHAMPOA EAST,1.3213046333333331,103.86436983333333
MOUNT EMILY ROAD,1.3048113,103.84849580000001
MOUNT FABER ROAD,1.2705674285714286,103.82206412857144
BAYSHORE ROAD,1.3129816285714284,103.93995694285711
ROCHESTER DRIVE,1.30633116,103.78881564000001
UPPER CHANGI ROAD EAST,1.34549865,103.962719225
PETIR ROAD,1.3729644999999997,103.77126033333333
HARBOURFRONT AVENUE,1.2662535666666666,103.81823466666667
GRANGE ROAD,1.3002850714285716,103.83421168571428
HAIG ROAD,1.31190371,103.89654816999999
BROOKVALE DRIVE,1.33001485,103.7680727
TOPAZ ROAD,1.3285365,103.86558364999999
LORONG MARICAN,1.3231907333333333,103.90816389999999
OXLEY RISE,1.2980369600000001,103.84239848
JALAN MUTIARA,1.2961729,103.82847509999999
HOUGANG STREET 32,1.3634539333333333,103.89501353333333
KAMPONG EUNOS,1.3185904,103.9065496
FABER WALK,1.321410088888889,103.7583403
RHU CROSS,1.2952949,103.86804513333334
STEVENS ROAD,1.3154464125,103.827565225
LORONG 5 TOA PAYOH,1.3361472444444447,103.85222084444445
JALAN SEMPADAN,1.312048575,103.9275052
DEVONSHIRE ROAD,1.2989475888888888,103.83727902222222
WISHART ROAD,1.26998835,103.81402637500001
TANJONG RHU ROAD,1.29730225,103.8746924
BEDOK RIA CRESCENT,1.3264813500000001,103.95315931236576
PATERSON HILL,1.3006948249999999,103.82955907499999
LORONG LEW LIAN,1.350640425,103.8770843
SPOTTISWOODE PARK ROAD,1.2746849125000002,103.8376871
DUNMAN ROAD,1.30947464,103.89599267000001
NATHAN ROAD,1.29623165,103.82603263333334
BRADDELL ROAD,1.34362772,103.85175158
DERBYSHIRE ROAD,1.3161202666666665,103.84577053333334
BALMORAL ROAD,1.3154518333333334,103.83268965
TOH TUCK ROAD,1.3396386,103.76728552857142
JOO CHIAT TERRACE,1.31456464,103.90128948000002
CHOA CHU KANG LOOP,1.3852290333333335,103.74417363333333
EVELYN ROAD,1.315939,103.84032893333334
HILLVIEW RISE,1.3633582,103.76402692000002
WILBY ROAD,1.3313605,103.78827940000001
ORCHARD ROAD,1.30398304,103.83378272
LIM AH WOO ROAD,1.3120587000000001,103.89206025
CHESTNUT AVENUE,1.3711071666666665,103.77684132222221
MAR THOMA ROAD,1.3277953333333334,103.86284543333333
SIGLAP LINK,1.308425825,103.92881215
SHELFORD ROAD,1.3271519333333333,103.81155663333332
YISHUN AVENUE 9,1.4330919,103.84107116666667
GEYLANG EAST AVENUE 1,1.317832733333333,103.88559336666668
FERNVALE STREET,1.3984664285714286,103.87844988571429
UPPER CIRCULAR ROAD,1.2887775499999998,103.84821079999999
ST. THOMAS WALK,1.29664515,103.83660815
SHREWSBURY ROAD,1.3181049500000002,103.84826386666667
SLIM BARRACKS RISE,1.30321,103.78932809999999
SUNRISE AVENUE,1.38761658,103.85726425
JELEBU ROAD,1.37953635,103.76380615
ST. FRANCIS ROAD,1.3243076999999999,103.86333415
EASTWOOD ROAD,1.3214399666666667,103.95743420000001
CENTRAL BOULEVARD,1.2774111333333333,103.85598833333331
WALLICH STREET,1.2772534199999999,103.84531736
LENGKONG TUJOH,1.328467,103.9149293
HUME AVENUE,1.35679512,103.76667544
YISHUN CENTRAL 1,1.4275824428571429,103.83741440000001
LEONIE HILL,1.2982948666666667,103.83191816666665
STURDEE ROAD,1.3122487999999999,103.85935125
KING ALBERT PARK,1.33478606,103.78062630957754
SOMMERVILLE ROAD,1.3450334,103.86774543333335
BEATTY ROAD,1.31408132,103.8587365
JALAN RAMA RAMA,1.3275999,103.84951955
BASSEIN ROAD,1.32331115,103.84822439999999
OXFORD ROAD,1.31568105,103.852603625
UPPER THOMSON ROAD,1.3824589666666667,103.82587706666668
LORONG PUNTONG,1.3607618,103.83102486666667
WOODGROVE AVENUE,1.4283346,103.78081384000002
PASIR RIS DRIVE 8,1.3727341857142856,103.94764925714286
LORONG 3 TOA PAYOH,1.3380432142857142,103.84805822857142
AH HOOD ROAD,1.3276377833333333,103.84613721666666
PARI DEDAP WALK,1.33162165,103.942143075
TANJONG KATONG ROAD,1.30390395,103.89630838999999
LORONG 32 GEYLANG,1.3128431333333335,103.88696246666666
JALAN MEMBINA,1.2840717166666666,103.82665103333333
LADY HILL ROAD,1.310924475,103.824304375
CHONG KUO ROAD,1.4033854,103.8176155
DALVEY ROAD,1.315344,103.82234708333334
KANDIS LINK,1.4570321,103.8369509
ORCHARD BOULEVARD,1.3033003600000002,103.82751405765569
PUNGGOL WALK,1.40505385,103.90044157
TAMPINES AVENUE 1,1.3463626899999999,103.93594815000002
SENGKANG SQUARE,1.39175575,103.895614575
JALAN LOKAM,1.347045775,103.88391272499999
BEDOK NORTH DRIVE,1.3257295999999998,103.92874789999999
TAMPINES ROAD,1.3681234428571425,103.91496857142856
WEST COAST WALK,1.3100521833333334,103.76222815
JURONG EAST STREET 32,1.3465340375000001,103.7331493
KILLINEY ROAD,1.2978923100000002,103.83866717999999
LORONG 35 GEYLANG,1.3152019333333334,103.88856653333333
BUKIT BATOK EAST AVENUE 5,1.3513449285714287,103.75584085714286
COMPASSVALE BOW,1.3828036857142858,103.89130952857143
MARINA WAY,1.278051125,103.85445272500002
SINARAN DRIVE,1.3199749,103.84509491666665
SIGLAP ROAD,1.312380675,103.92424352500001
SERANGOON ROAD,1.3189763500000002,103.86114812999999
QUEENSWAY,1.29362011,103.80066739000002
CACTUS DRIVE,1.3885838,103.85264303333334
BALESTIER ROAD,1.32434049,103.84965186
ROSYTH ROAD,1.36280765,103.87485792500001
PATERSON ROAD,1.3021539714285715,103.83043568571428
JALAN LOYANG BESAR,1.3786256000000001,103.96003130000001
STILL ROAD SOUTH,1.3049473142857144,103.90987297142856
MOUNTBATTEN ROAD,1.30416034,103.89186382999999
CHANGI ROAD,1.3180162,103.90673923
LORONG MYDIN,1.3209015,103.91130533333335
LORONG 26 GEYLANG,1.3124090333333334,103.88485346666666
MOUNT SINAI LANE,1.3157082666666666,103.78537326666667
CARDIFF GROVE,1.3573354499999999,103.86600595
BUKIT BATOK STREET 41,1.3559755333333332,103.74185423333334
WILKIE TERRACE,1.3023316999999999,103.84876270000001
WOODGROVE DRIVE,1.4290174,103.781778025
WILKIE ROAD,1.3028507,103.84779636
LORONG STANGEE,1.3090903,103.9068282
MARINE PARADE ROAD,1.30455633,103.9095949
BUKIT BATOK STREET 25,1.3438931142857142,103.76076525714288
CHANCERY LANE,1.3203053428571427,103.8375852857143
CEYLON ROAD,1.30767255,103.9013035875
LORONG 33 GEYLANG,1.3151033571428574,103.88784491428571
UPPER BUKIT TIMAH VIEW,1.3473106,103.7705855
LORONG SARHAD,1.2804144499999999,103.7883322
JALAN TAMAN,1.3260452200000001,103.86477266
MARGARET DRIVE,1.29832835,103.80580929
CHOA CHU KANG NORTH 7,1.4007792799999998,103.74682118000001
RIVERVALE CRESCENT,1.3903262399999998,103.90733964
CORPORATION ROAD,1.33847532,103.71720133
TAN QUEE LAN STREET,1.298381125,103.85682935
RIDGEWOOD CLOSE,1.317324525,103.7783141
FERNVALE CLOSE,1.3944364,103.87971106666667
SUNSET WAY,1.3239218099999999,103.76916111999999
SARKIES ROAD,1.3142823,103.8368452
JALAN HAJIJAH,1.31329795,103.93504235
JERVOIS ROAD,1.2946985000000002,103.82072548333332
CHAY YAN STREET,1.2824883666666669,103.83101099999999
JOO CHIAT LANE,1.31239194,103.90227834
POH HUAT ROAD,1.3666123,103.881805
HOOT KIAM ROAD,1.296917525,103.83017372500001
BUTTERWORTH LANE,1.3123901,103.8948289
WARINGIN PARK,1.322200975,103.9187608
JALAN MASJID,1.3199207333333334,103.91240403333335
COMMONWEALTH AVENUE,1.2969728,103.80385483
SIMEI STREET 1,1.3446498999999998,103.95505675
BUKIT BATOK EAST AVENUE 6,1.3453801,103.75665573
HAIG LANE,1.309131,103.89913076666669
LORONG AH SOO,1.35159104,103.88375142
CUSCADEN WALK,1.3041771,103.82921075
DUCHESS AVENUE,1.3237687,103.80291565
JALAN MERLIMAU,1.3234857,103.84060505
ST. PATRICK'S ROAD,1.308014375,103.913597675
YISHUN RING ROAD,1.42872042,103.83602905000001
SIN MING AVENUE,1.361349714285714,103.8342897142857
